# Event	Field	Star No	RA (J2000)	Dec (J2000)	Tmax (HJD)	Tmax (UT)	tau	Umin	Amax
2011-BLG-0859	BLG613.09	 80492	17:32:03.33	-29:22:03.1	2455695.891	2011-05-14.39	7.630	1.420	1.153
2011-BLG-0860	BLG615.06	 66810	17:22:54.00	-30:21:59.1	2455708.770	2011-05-27.27	44.373	0.101	9.984
2011-BLG-0861	BLG615.22	 27056	17:23:59.01	-29:35:22.0	2455690.371	2011-05-08.87	6.266	0.182	5.572
2011-BLG-0862	BLG632.07	 25766	17:43:53.64	-23:53:16.6	2455695.264	2011-05-13.76	15.995	0.207	4.915
2011-BLG-0863	BLG637.01	 43101	17:52:49.56	-22:04:01.7	2455712.337	2011-05-30.84	26.067	0.146	6.912
2011-BLG-0864	BLG675.15	 97193	17:38:42.04	-27:28:06.2	2455699.292	2011-05-17.79	17.349	0.181	5.579
2011-BLG-0865	BLG521.26	 114653	18:10:45.76	-29:50:53.3	2455719.625	2011-06-07.12	22.190	0.363	2.892
2011-BLG-0866	BLG545.20	 43307	18:14:37.53	-24:50:54.0	2455712.850	2011-05-31.35	61.447	0.068	14.66
2011-BLG-0867	BLG613.25	 80323	17:27:05.48	-29:02:07.9	2455714.312	2011-06-01.81	25.416	0.102	9.817
2011-BLG-0868	BLG613.29	 76069	17:29:53.05	-28:49:11.8	2455715.131	2011-06-02.63	22.565	0.669	1.735
2011-BLG-0869	BLG632.10	 7756	17:47:16.75	-23:39:19.2	2455738.757	2011-06-26.26	17.195	0.015	65.04
2011-BLG-0870	BLG632.23	 38335	17:44:23.81	-23:25:44.7	2455718.730	2011-06-06.23	3.850	0.726	1.636
2011-BLG-0871	BLG637.05	 69604	17:50:00.24	-22:11:27.8	2455733.227	2011-06-20.73	57.293	0.667	1.740
2011-BLG-0872	BLG638.03	 7052	17:51:46.90	-23:22:24.6	2455706.283	2011-05-24.78	6.206	1.176	1.240
2011-BLG-0873	BLG638.16	 92714	17:48:01.19	-22:52:26.8	2455745.107	2011-07-02.61	23.312	0.535	2.063
2011-BLG-0874	BLG638.24	 171	17:49:03.29	-22:50:11.8	2455716.896	2011-06-04.40	12.909	1.374	1.166
2011-BLG-0875	BLG646.21	 42468	18:02:40.73	-26:04:16.4	2455791.815	2011-08-18.32	86.282	1.638	1.106
2011-BLG-0876	BLG648.13	 43991	17:45:54.11	-26:55:18.5	2455723.689	2011-06-11.19	74.923	0.570	1.960
2011-BLG-0877	BLG648.21	 19131	17:46:43.79	-26:43:52.3	2455696.602	2011-05-15.10	17.889	0.338	3.084
2011-BLG-0878	BLG648.29	 39673	17:46:34.97	-26:22:39.6	2455701.781	2011-05-20.28	8.618	0.980	1.356
2011-BLG-0879	BLG660.01	 82503	17:48:00.35	-33:28:35.6	2455711.753	2011-05-30.25	2.780	0.881	1.442
2011-BLG-0880	BLG660.24	 71039	17:43:34.10	-32:40:44.9	2455713.692	2011-06-01.19	79.471	0.009	107.1
2011-BLG-0881	BLG675.07	 41294	17:38:59.85	-27:55:26.6	2455722.499	2011-06-10.00	19.431	0.508	2.155
2011-BLG-0882	BLG503.13	 132242	17:50:32.13	-35:01:42.8	2455722.134	2011-06-09.63	9.651	0.736	1.620
2011-BLG-0883	BLG509.16	 115074	17:54:30.14	-34:09:30.6	2455732.142	2011-06-19.64	12.075	1.072	1.295
2011-BLG-0884	BLG510.04	 106465	17:57:15.08	-35:51:05.0	2455730.344	2011-06-17.84	17.360	0.477	2.273
2011-BLG-0885	BLG510.32	 75829	17:55:07.14	-34:54:08.9	2455780.281	2011-08-06.78	139.852	0.128	7.856
2011-BLG-0886	BLG522.03	 91191	18:14:25.74	-26:38:51.0	2455739.634	2011-06-27.13	22.998	0.368	2.856
2011-BLG-0887	BLG522.17	 78583	18:16:26.32	-26:07:02.3	2455746.294	2011-07-03.79	51.191	0.132	7.635
2011-BLG-0888	BLG522.22	 28229	18:13:21.11	-25:55:09.7	2455724.287	2011-06-11.79	11.151	0.393	2.692
2011-BLG-0889	BLG522.25	 27191	18:11:17.46	-25:55:00.8	2455822.600	2011-09-18.10	61.741	0.488	2.229
2011-BLG-0890	BLG522.26	 42829	18:15:53.52	-25:44:57.7	2455737.955	2011-06-25.45	38.583	0.233	4.376
2011-BLG-0891	BLG523.28	 141492	18:14:31.01	-26:47:35.5	2455734.506	2011-06-22.01	28.825	0.070	14.26
2011-BLG-0892	BLG523.31	 13539	18:12:50.16	-26:58:15.5	2455756.581	2011-07-14.08	75.498	0.740	1.614
2011-BLG-0893	BLG524.06	 136226	18:12:30.51	-28:59:48.9	2455744.142	2011-07-01.64	22.582	0.740	1.614
2011-BLG-0894	BLG524.22	 122899	18:13:14.14	-28:28:06.2	2455748.084	2011-07-05.58	31.213	0.326	3.185
2011-BLG-0895	BLG524.24	 17169	18:12:12.87	-28:28:24.7	2455787.527	2011-08-14.03	174.603	0.349	2.998
2011-BLG-0896	BLG524.26	 15644	18:16:27.83	-28:09:25.0	2455751.172	2011-07-08.67	51.903	0.357	2.932
2011-BLG-0897	BLG545.05	 87925	18:12:58.39	-25:16:25.6	2455722.448	2011-06-09.95	10.838	0.470	2.301
2011-BLG-0898	BLG573.20	 24751	18:09:54.69	-31:28:40.1	2455719.371	2011-06-06.87	19.297	0.621	1.835
2011-BLG-0899	BLG604.05	 118998	17:44:30.77	-35:47:30.5	2455747.974	2011-07-05.47	22.183	0.123	8.182
2011-BLG-0900	BLG609.01	 97571	17:42:00.21	-35:08:31.0	2455744.504	2011-07-02.00	20.316	0.039	25.77
2011-BLG-0901	BLG609.06	 58657	17:38:14.89	-35:19:21.2	2455726.611	2011-06-14.11	27.831	1.199	1.230
2011-BLG-0902	BLG612.27	 31454	17:31:27.81	-27:31:51.5	2455763.521	2011-07-21.02	112.319	0.118	8.548
2011-BLG-0903	BLG612.32	 45564	17:27:49.12	-27:30:17.7	2455725.934	2011-06-13.43	36.302	0.342	3.050
2011-BLG-0904	BLG613.07	 36212	17:27:52.74	-29:48:39.1	2455719.463	2011-06-06.96	5.923	0.081	12.43
2011-BLG-0905	BLG613.14	 120443	17:28:23.14	-29:25:39.7	2455737.407	2011-06-24.91	9.954	0.194	5.235
2011-BLG-0906	BLG617.11	 86563	17:16:24.98	-30:00:13.1	2455737.733	2011-06-25.23	9.867	0.060	16.65
2011-BLG-0907	BLG624.09	 13867	17:42:31.35	-21:44:36.6	2455730.683	2011-06-18.18	9.750	0.746	1.606
2011-BLG-0908	BLG626.06	 8833	17:39:16.88	-24:36:53.8	2455732.942	2011-06-20.44	11.286	0.609	1.863
2011-BLG-0909	BLG631.02	 35752	17:47:04.15	-22:34:14.0	2455766.290	2011-07-23.79	27.644	0.767	1.576
2011-BLG-0910	BLG632.04	 68698	17:45:40.84	-23:52:59.3	2455727.516	2011-06-15.02	16.614	0.762	1.582
2011-BLG-0911	BLG632.21	 15507	17:45:49.92	-23:19:57.0	2455779.894	2011-08-06.39	37.853	1.285	1.195
2011-BLG-0912	BLG638.06	 121645	17:49:12.24	-23:18:16.2	2455734.580	2011-06-22.08	34.940	0.098	10.27
2011-BLG-0913	BLG638.20	 62329	17:51:30.94	-22:33:13.9	2455796.991	2011-08-23.49	42.642	0.549	2.023
2011-BLG-0914	BLG654.14	 45073	17:34:13.32	-29:52:05.4	2455723.461	2011-06-10.96	12.064	0.310	3.343
2011-BLG-0915	BLG660.05	 56081	17:45:14.55	-33:23:27.8	2455723.972	2011-06-11.47	9.840	0.498	2.190
2011-BLG-0916	BLG660.06	 9300	17:44:43.64	-33:26:18.8	2455730.557	2011-06-18.06	21.788	1.416	1.154
2011-BLG-0917	BLG660.06	 15223	17:44:45.32	-33:25:24.7	2455734.171	2011-06-21.67	5.475	0.262	3.919
2011-BLG-0918	BLG660.06	 140669	17:44:10.99	-33:19:49.1	2455739.577	2011-06-27.08	6.809	1.218	1.221
2011-BLG-0919	BLG660.29	 18665	17:45:46.52	-32:33:04.6	2455757.895	2011-07-15.39	17.916	0.432	2.471
2011-BLG-0920	BLG675.06	 51499	17:39:35.39	-27:44:28.2	2455736.265	2011-06-23.77	12.049	0.202	5.034
2011-BLG-0921	BLG507.15	 23157	17:55:35.06	-31:48:46.2	2455740.872	2011-06-28.37	7.326	0.087	11.53
2011-BLG-0922	BLG535.14	 101	17:50:34.93	-32:35:30.4	2455794.828	2011-08-21.33	28.656	0.664	1.743
2011-BLG-0923	BLG573.31	 81906	18:07:25.50	-31:18:11.6	2455749.246	2011-07-06.75	16.075	0.789	1.545
2011-BLG-0924	BLG603.07	 4115	17:43:43.11	-34:43:53.5	2455744.764	2011-07-02.26	8.672	0.058	17.22
2011-BLG-0925	BLG612.08	 37198	17:32:50.30	-28:08:02.2	2455745.052	2011-07-02.55	16.468	0.071	14.17
2011-BLG-0926	BLG653.13	 60581	17:34:41.66	-28:49:13.4	2455736.512	2011-06-24.01	30.746	0.315	3.289
2011-BLG-0927	BLG501.07	 95684	17:49:28.29	-30:16:10.5	2455741.600	2011-06-29.10	2.367	0.442	2.427
2011-BLG-0928	BLG504.03	 64574	17:58:20.10	-28:31:44.8	2455743.971	2011-07-01.47	8.310	0.650	1.771
2011-BLG-0929	BLG504.28	 2638	17:58:31.88	-27:38:58.4	2455742.791	2011-06-30.29	1.760	1.223	1.219
2011-BLG-0930	BLG505.13	 73284	17:56:52.59	-29:24:00.3	2455742.196	2011-06-29.70	26.578	0.159	6.347
2011-BLG-0931	BLG505.19	 171036	17:58:57.20	-28:57:50.9	2455743.216	2011-06-30.72	7.591	0.081	12.36
2011-BLG-0932	BLG506.14	 29258	17:56:16.12	-30:33:54.4	2455753.588	2011-07-11.09	66.676	0.053	19.05
2011-BLG-0933	BLG510.32	 7148	17:55:29.13	-34:57:23.9	2455736.792	2011-06-24.29	15.987	1.674	1.100
2011-BLG-0934	BLG512.30	 138067	18:02:19.62	-28:09:41.0	2455742.937	2011-06-30.44	4.524	1.034	1.318
2011-BLG-0935	BLG519.23	 94609	18:07:04.73	-27:58:34.0	2455761.470	2011-07-18.97	36.737	0.826	1.501
2011-BLG-0936	BLG588.28	 86352	18:09:41.59	-32:20:24.6	2455779.362	2011-08-05.86	58.151	1.302	1.189
2011-BLG-0937	BLG611.18	 156252	17:37:22.09	-26:59:08.4	2455743.036	2011-06-30.54	8.692	0.499	2.185
2011-BLG-0938	BLG624.03	 107603	17:40:43.29	-22:05:49.9	2455746.628	2011-07-04.13	23.078	0.042	23.92
2011-BLG-0939	BLG632.26	 57825	17:47:49.27	-22:58:03.4	2455733.731	2011-06-21.23	42.206	0.748	1.602
2011-BLG-0940	BLG638.02	 4987	17:52:25.51	-23:24:01.3	2455752.560	2011-07-10.06	53.234	0.110	9.092
2011-BLG-0941	BLG660.14	 3929	17:44:43.84	-33:10:30.1	2455736.805	2011-06-24.30	25.300	0.839	1.486
2011-BLG-0942	BLG500.20	 12953	17:53:00.06	-28:32:01.9	2455743.749	2011-07-01.25	8.759	0.633	1.808
2011-BLG-0943	BLG501.11	 202289	17:52:23.83	-29:56:02.9	2455749.625	2011-07-07.12	16.874	0.664	1.745
2011-BLG-0944	BLG501.19	 167363	17:53:12.00	-29:33:51.9	2455767.395	2011-07-24.89	12.258	0.047	21.50
2011-BLG-0945	BLG504.01	 180398	17:59:25.85	-28:26:04.9	2455744.728	2011-07-02.23	8.580	2.061	1.056
2011-BLG-0946	BLG505.06	 74169	17:56:18.55	-29:42:53.1	2455756.154	2011-07-13.65	12.297	0.761	1.584
2011-BLG-0947	BLG505.06	 210632	17:55:53.62	-29:39:17.7	2455744.661	2011-07-02.16	7.822	0.446	2.404
2011-BLG-0948	BLG505.27	 48231	17:59:13.49	-28:39:52.1	2455776.655	2011-08-03.15	67.250	0.098	10.22
2011-BLG-0949	BLG506.30	 146097	17:56:32.86	-30:06:30.3	2455775.006	2011-08-01.51	79.040	0.006	161.0
2011-BLG-0950	BLG508.21	 134089	17:57:16.63	-32:39:57.0	2455786.419	2011-08-12.92	59.106	0.010	98.83
2011-BLG-0951	BLG509.32	 76014	17:55:07.23	-33:44:25.4	2455740.624	2011-06-28.12	2.183	0.257	3.981
2011-BLG-0952	BLG511.11	 174423	18:03:28.59	-27:30:34.1	2455735.642	2011-06-23.14	34.267	0.144	7.021
2011-BLG-0953	BLG519.20	 53794	18:09:18.17	-27:57:26.4	2455747.431	2011-07-04.93	22.263	0.507	2.157
2011-BLG-0954	BLG603.03	 145779	17:46:15.90	-34:36:57.3	2455750.363	2011-07-07.86	21.456	0.279	3.687
2011-BLG-0955	BLG603.14	 4251	17:44:30.99	-34:25:10.7	2455774.247	2011-07-31.75	19.166	0.298	3.470
2011-BLG-0956	BLG603.30	 93475	17:44:54.01	-33:43:34.0	2455750.570	2011-07-08.07	9.563	1.518	1.129
2011-BLG-0957	BLG638.19	 6528	17:52:21.67	-22:45:12.8	2455801.440	2011-08-27.94	52.345	1.002	1.340
2011-BLG-0958	BLG648.22	 59656	17:45:41.98	-26:42:20.7	2455757.285	2011-07-14.79	23.970	0.200	5.067
2011-BLG-0959	BLG653.07	 91098	17:33:11.47	-29:07:29.9	2455750.168	2011-07-07.67	14.998	0.946	1.383
2011-BLG-0960	BLG503.17	 113664	17:54:21.80	-34:44:26.4	2455745.455	2011-07-02.96	16.432	1.108	1.274
2011-BLG-0961	BLG512.19	 117702	18:04:23.69	-28:35:12.9	2455749.838	2011-07-07.34	21.905	0.295	3.503
2011-BLG-0962	BLG580.23	 51256	18:07:09.34	-25:24:06.0	2455754.697	2011-07-12.20	15.460	1.307	1.187
2011-BLG-0963	BLG604.14	 18363	17:44:23.82	-35:30:07.6	2455752.769	2011-07-10.27	26.992	0.447	2.404
2011-BLG-0964	BLG604.19	 56724	17:47:13.03	-35:13:24.7	2455752.437	2011-07-09.94	25.539	0.020	48.79
2011-BLG-0965	BLG615.22	 56919	17:23:42.51	-29:37:29.9	2455734.957	2011-06-22.46	54.384	1.506	1.132
2011-BLG-0966	BLG501.04	 40954	17:52:10.89	-30:12:37.1	2455758.121	2011-07-15.62	15.862	0.082	12.24
2011-BLG-0967	BLG504.17	 153224	18:00:15.25	-27:42:47.0	2455806.744	2011-09-02.24	36.178	1.221	1.220
2011-BLG-0968	BLG507.14	 124936	17:55:57.94	-31:46:11.5	2455749.053	2011-07-06.55	13.427	1.298	1.191
2011-BLG-0969	BLG573.28	 60514	18:09:41.13	-31:11:04.7	2455790.380	2011-08-16.88	34.677	0.027	37.44
2011-BLG-0970	BLG603.14	 65426	17:44:17.54	-34:16:11.6	2455750.835	2011-07-08.34	17.365	0.064	15.67
2011-BLG-0971	BLG626.07	 85826	17:38:15.34	-24:33:45.5	2455789.635	2011-08-16.14	30.891	0.341	3.060
2011-BLG-0972	BLG626.26	 47610	17:42:33.09	-23:34:28.7	2455746.399	2011-07-03.90	31.487	0.697	1.683
2011-BLG-0973	BLG632.05	 115514	17:44:57.20	-23:52:26.3	2455748.305	2011-07-05.80	10.167	0.440	2.434
2011-BLG-0974	BLG645.02	 138681	17:58:39.61	-27:09:36.1	2455742.522	2011-06-30.02	33.860	0.438	2.443
2011-BLG-0975	BLG506.30	 119413	17:56:46.73	-30:00:17.5	2455768.836	2011-07-26.34	14.472	0.118	8.552
2011-BLG-0976	BLG523.18	 177456	18:15:48.79	-27:06:50.0	2455744.160	2011-07-01.66	8.030	0.621	1.835
2011-BLG-0977	BLG523.22	 88188	18:13:26.74	-27:06:44.5	2455745.804	2011-07-03.30	16.687	0.173	5.852
2011-BLG-0978	BLG648.22	 75779	17:45:36.39	-26:29:03.5	2455761.218	2011-07-18.72	23.692	0.076	13.27
2011-BLG-0979	BLG653.10	 13702	17:37:18.16	-28:44:02.0	2455767.542	2011-07-25.04	27.484	0.123	8.144
2011-BLG-0980	BLG513.22	 50289	18:02:29.45	-29:45:37.0	2455751.930	2011-07-09.43	18.911	0.675	1.723
2011-BLG-0981	BLG611.12	 32904	17:35:46.09	-27:15:16.8	2455748.155	2011-07-05.66	32.821	0.028	36.34
2011-BLG-0982	BLG625.29	 88500	17:40:08.58	-22:13:29.5	2455747.779	2011-07-05.28	2.272	1.182	1.237
2011-BLG-0983	BLG504.18	 44221	17:59:58.47	-27:42:48.8	2455771.085	2011-07-28.59	19.158	1.528	1.127
2011-BLG-0984	BLG505.32	 55449	17:55:27.88	-28:47:26.7	2455750.635	2011-07-08.13	4.608	0.328	3.174
2011-BLG-0985	BLG507.14	 143247	17:55:52.20	-31:57:36.2	2455749.456	2011-07-06.96	7.729	0.630	1.815
2011-BLG-0986	BLG512.05	 174897	18:02:06.98	-29:11:04.8	2455753.235	2011-07-10.73	6.508	0.547	2.027
2011-BLG-0987	BLG613.16	 60454	17:27:20.17	-29:20:00.8	2455752.469	2011-07-09.97	9.693	0.821	1.507
2011-BLG-0988	BLG625.29	 88483	17:40:08.61	-22:13:48.0	2455748.290	2011-07-05.79	3.549	1.217	1.222
2011-BLG-0989	BLG645.09	 78770	17:59:29.51	-26:59:26.1	2455747.706	2011-07-05.21	17.566	1.113	1.271
2011-BLG-0990	BLG501.05	 18705	17:51:30.29	-30:17:47.6	2455758.694	2011-07-16.19	6.511	0.023	43.91
2011-BLG-0991	BLG501.19	 114172	17:53:14.07	-29:49:26.5	2455801.450	2011-08-27.95	26.774	0.883	1.440
2011-BLG-0992	BLG501.20	 46741	17:52:51.04	-29:32:38.6	2455754.058	2011-07-11.56	4.068	0.693	1.691
2011-BLG-0993	BLG501.24	 38256	17:49:54.18	-29:40:09.1	2455802.523	2011-08-29.02	28.378	0.409	2.594
2011-BLG-0994	BLG604.12	 140837	17:45:26.68	-35:26:39.9	2455756.953	2011-07-14.45	6.686	0.273	3.759
2011-BLG-0995	BLG500.11	 129337	17:52:36.97	-28:38:12.4	2455760.988	2011-07-18.49	21.813	2.170	1.048
2011-BLG-0996	BLG500.17	 76063	17:54:49.07	-28:23:40.7	2455757.917	2011-07-15.42	15.460	0.120	8.355
2011-BLG-0997	BLG500.27	 84621	17:53:16.82	-28:10:18.1	2455813.406	2011-09-08.91	39.418	0.606	1.869
2011-BLG-0998	BLG504.09	 14179	17:59:53.64	-28:13:09.6	2455765.363	2011-07-22.86	26.297	0.306	3.383
2011-BLG-0999	BLG505.12	 114920	17:57:31.37	-29:30:15.3	2455760.862	2011-07-18.36	5.439	0.104	9.610
2011-BLG-1000	BLG505.15	 2302	17:55:37.00	-29:30:29.0	2455771.668	2011-07-29.17	46.319	0.153	6.607
2011-BLG-1001	BLG511.01	 101955	18:05:05.71	-27:54:36.0	2455765.119	2011-07-22.62	15.844	0.482	2.249
2011-BLG-1002	BLG511.08	 36379	18:06:01.86	-27:23:14.9	2455805.926	2011-09-01.43	56.642	0.467	2.312
2011-BLG-1003	BLG511.10	 93610	18:04:32.31	-27:24:01.1	2455757.890	2011-07-15.39	5.480	0.083	12.10
2011-BLG-1004	BLG511.17	 132927	18:05:43.85	-27:08:11.7	2455801.121	2011-08-27.62	58.848	0.640	1.793
2011-BLG-1005	BLG512.30	 125360	18:02:14.89	-28:13:53.9	2455758.647	2011-07-16.15	36.561	0.065	15.49
2011-BLG-1006	BLG519.02	 100029	18:09:45.89	-28:29:19.3	2455772.292	2011-07-29.79	20.699	0.312	3.321
2011-BLG-1007	BLG534.26	 145637	17:53:43.87	-30:38:53.0	2455790.004	2011-08-16.50	32.398	0.266	3.854
2011-BLG-1008	BLG611.04	 76689	17:35:37.48	-27:30:54.4	2455758.158	2011-07-15.66	18.081	0.303	3.410
2011-BLG-1009	BLG500.10	 108221	17:53:17.63	-28:51:04.4	2455774.016	2011-07-31.52	28.195	0.175	5.766
2011-BLG-1010	BLG535.04	 95817	17:51:37.14	-32:48:43.0	2455766.872	2011-07-24.37	35.642	0.022	45.64
2011-BLG-1011	BLG603.20	 40046	17:46:36.62	-34:08:46.0	2455760.454	2011-07-17.95	4.520	1.391	1.161
2011-BLG-1012	BLG501.19	 145185	17:53:15.63	-29:40:26.8	2455780.963	2011-08-07.46	31.097	1.568	1.119
2011-BLG-1013	BLG505.23	 128165	17:55:57.96	-28:58:40.3	2455763.727	2011-07-21.23	8.221	0.755	1.592
2011-BLG-1014	BLG506.13	 54581	17:56:51.03	-30:38:38.7	2455775.764	2011-08-02.26	9.241	1.108	1.274
2011-BLG-1015	BLG507.03	 103415	17:58:07.80	-32:09:19.5	2455760.129	2011-07-17.63	110.957	0.082	12.24
2011-BLG-1016	BLG508.24	 116883	17:55:02.49	-32:50:42.9	2455764.467	2011-07-21.97	65.414	0.052	19.42
2011-BLG-1017	BLG511.07	 66169	18:01:01.85	-27:52:22.1	2455763.363	2011-07-20.86	30.480	0.057	17.41
2011-BLG-1018	BLG511.19	 161675	18:04:08.94	-27:19:38.0	2455779.711	2011-08-06.21	28.295	0.682	1.711
2011-BLG-1019	BLG512.14	 171998	18:01:25.88	-28:54:00.5	2455784.974	2011-08-11.47	21.595	0.428	2.493
2011-BLG-1020	BLG512.20	 65216	18:03:53.41	-28:34:37.7	2455764.341	2011-07-21.84	14.916	0.214	4.746
2011-BLG-1021	BLG514.05	 138931	18:02:11.14	-31:31:07.3	2455762.195	2011-07-19.70	7.724	0.582	1.929
2011-BLG-1022	BLG518.16	 5243	18:05:51.46	-27:01:01.4	2455759.267	2011-07-16.77	8.212	1.543	1.124
2011-BLG-1023	BLG534.08	 27041	17:54:59.97	-31:10:29.1	2455758.757	2011-07-16.26	7.865	1.798	1.082
2011-BLG-1024	BLG535.22	 9542	17:51:20.07	-32:13:32.9	2455761.499	2011-07-19.00	16.781	0.113	8.919
2011-BLG-1025	BLG535.26	 50343	17:54:04.51	-31:52:09.1	2455763.216	2011-07-20.72	2.227	1.205	1.227
2011-BLG-1026	BLG500.13	 69421	17:51:10.21	-28:46:18.1	2455803.700	2011-08-30.20	36.316	0.300	3.441
2011-BLG-1027	BLG501.04	 14909	17:52:11.52	-30:22:05.1	2455757.160	2011-07-14.66	55.041	0.084	11.86
2011-BLG-1028	BLG501.18	 31115	17:54:16.52	-29:39:38.4	2455765.447	2011-07-22.95	11.179	0.044	22.60
2011-BLG-1029	BLG501.31	 52436	17:50:24.78	-29:25:08.0	2455827.281	2011-09-22.78	41.278	0.895	1.428
2011-BLG-1030	BLG504.24	 7652	17:55:43.57	-27:56:27.4	2455761.626	2011-07-19.13	52.477	0.300	3.442
2011-BLG-1031	BLG504.26	 68428	17:59:47.66	-27:31:53.1	2455764.742	2011-07-22.24	3.234	0.340	3.064
2011-BLG-1032	BLG505.05	 115949	17:56:43.96	-29:49:53.5	2455761.625	2011-07-19.12	129.273	0.075	13.43
2011-BLG-1033	BLG505.15	 90975	17:55:26.01	-29:19:34.6	2455765.127	2011-07-22.63	3.662	1.142	1.256
2011-BLG-1034	BLG505.20	 211437	17:57:58.72	-29:02:15.7	2455774.063	2011-07-31.56	30.253	0.357	2.937
2011-BLG-1035	BLG505.25	 36615	17:55:01.55	-28:57:28.8	2455776.575	2011-08-03.08	34.826	0.044	22.87
2011-BLG-1036	BLG506.29	 50560	17:57:31.27	-30:05:39.9	2455791.041	2011-08-17.54	32.880	0.217	4.684
2011-BLG-1037	BLG512.21	 8918	18:03:22.61	-28:33:58.3	2455759.840	2011-07-17.34	8.108	0.782	1.555
2011-BLG-1038	BLG534.26	 38006	17:54:13.24	-30:28:23.4	2455773.717	2011-07-31.22	17.295	0.273	3.763
2011-BLG-1039	BLG611.04	 113830	17:35:31.85	-27:35:32.9	2455789.236	2011-08-15.74	85.219	0.390	2.709
2011-BLG-1040	BLG611.13	 84141	17:34:53.36	-27:12:04.8	2455769.563	2011-07-27.06	17.215	0.557	1.997
2011-BLG-1041	BLG611.18	 55848	17:37:47.64	-27:02:29.9	2455768.035	2011-07-25.54	19.474	0.876	1.447
2011-BLG-1042	BLG611.28	 17023	17:36:31.71	-26:42:29.0	2455784.407	2011-08-10.91	104.227	0.082	12.26
2011-BLG-1043	BLG626.22	 16278	17:39:58.50	-23:53:12.8	2455829.665	2011-09-25.16	91.641	0.253	4.049
2011-BLG-1044	BLG500.04	 64310	17:52:03.73	-29:06:57.7	2455772.129	2011-07-29.63	23.030	0.479	2.264
2011-BLG-1045	BLG501.13	 78751	17:51:18.95	-29:54:33.0	2455795.612	2011-08-22.11	0.097	0.523	2.103
2011-BLG-1046	BLG502.09	 5116	17:54:09.80	-33:46:28.0	2455828.295	2011-09-23.80	53.813	0.442	2.424
2011-BLG-1047	BLG504.15	 123906	17:55:07.64	-28:16:19.7	2455765.846	2011-07-23.35	8.783	1.550	1.123
2011-BLG-1048	BLG505.18	 43771	17:59:56.00	-28:58:28.7	2455783.261	2011-08-09.76	66.586	0.424	2.512
2011-BLG-1049	BLG506.10	 120209	17:58:46.82	-30:29:13.2	2455770.185	2011-07-27.68	8.858	0.385	2.740
2011-BLG-1050	BLG513.22	 95494	18:02:12.07	-29:39:25.6	2455790.634	2011-08-17.13	3.846	0.518	2.118
2011-BLG-1051	BLG519.31	 57803	18:07:11.91	-27:32:58.5	2455766.689	2011-07-24.19	4.457	1.402	1.158
2011-BLG-1052	BLG520.07	 75083	18:06:37.76	-29:40:31.2	2455768.008	2011-07-25.51	62.757	0.078	12.88
2011-BLG-1053	BLG520.17	 119244	18:11:20.30	-29:00:12.8	2455772.220	2011-07-29.72	31.514	0.513	2.137
2011-BLG-1054	BLG534.03	 15421	17:52:52.44	-31:34:48.9	2455774.854	2011-08-01.35	14.933	0.029	34.22
2011-BLG-1055	BLG534.16	 22125	17:49:10.58	-31:04:16.2	2455785.287	2011-08-11.79	72.341	0.210	4.841
2011-BLG-1056	BLG611.11	 128880	17:36:11.32	-27:17:54.4	2455758.910	2011-07-16.41	19.703	0.510	2.145
2011-BLG-1057	BLG613.08	 89357	17:32:33.54	-29:31:07.8	2455765.545	2011-07-23.05	26.939	0.060	16.70
2011-BLG-1058	BLG624.03	 107676	17:40:43.42	-22:05:18.6	2455756.178	2011-07-13.68	8.348	0.858	1.465
2011-BLG-1059	BLG504.10	 44839	17:59:13.99	-28:00:54.2	2455765.741	2011-07-23.24	89.275	0.203	5.007
2011-BLG-1060	BLG505.29	 178023	17:57:20.75	-28:50:41.2	2455767.735	2011-07-25.23	2.523	1.380	1.164
2011-BLG-1061	BLG508.23	 129196	17:55:46.94	-32:40:43.4	2455758.751	2011-07-16.25	15.460	1.184	1.236
2011-BLG-1062	BLG510.10	 53960	17:59:10.07	-35:25:18.0	2455769.754	2011-07-27.25	22.044	0.183	5.533
2011-BLG-1063	BLG513.20	 40652	18:03:52.81	-29:48:21.2	2455765.080	2011-07-22.58	1.401	1.140	1.257
2011-BLG-1064	BLG516.31	 66092	18:01:41.33	-33:09:53.2	2455762.008	2011-07-19.51	2.118	1.083	1.288
2011-BLG-1065	BLG521.25	 638	18:06:05.46	-30:26:09.9	2455764.847	2011-07-22.35	5.424	0.590	1.908
2011-BLG-1066	BLG534.30	 11169	17:51:21.34	-30:39:28.9	2455786.960	2011-08-13.46	99.233	0.047	21.07
2011-BLG-1067	BLG535.05	 69228	17:51:10.38	-32:40:23.7	2455772.071	2011-07-29.57	24.827	0.197	5.159
2011-BLG-1068	BLG646.01	 95287	18:04:56.24	-26:32:55.6	2455910.962	2011-12-15.46	75.907	0.000	28179
2011-BLG-1069	BLG646.23	 32800	18:01:31.42	-26:00:40.0	2455763.727	2011-07-21.23	5.355	0.151	6.692
2011-BLG-1070	BLG501.09	 103170	17:54:06.76	-29:53:32.9	2455763.965	2011-07-21.46	0.617	0.502	2.174
2011-BLG-1071	BLG502.32	 47655	17:49:31.83	-33:05:45.9	2455765.726	2011-07-23.23	8.985	0.996	1.344
2011-BLG-1072	BLG505.30	 54475	17:56:53.97	-28:50:53.8	2455775.402	2011-08-01.90	15.034	0.006	163.6
